job_title,years_of_experience,location,education_level,company_size,skills,salary_usd
Machine Learning Researcher,16,India,Bachelor,Medium,"Scala, TensorFlow, GCP, Deep Learning",170314
Autonomous Systems Engineer,1,Denmark,PhD,Medium,"MLOps, Azure, Linux",82237
Machine Learning Engineer,13,Ireland,Associate,Large,"Scala, Kubernetes, Deep Learning, PyTorch",146642
Data Engineer,1,Germany,Bachelor,Medium,"Mathematics, Linux, Computer Vision, Python",76107.33
AI Architect,1,United Kingdom,Master,Large,"Scala, Git, Python, Docker",99688.05
Machine Learning Researcher,0,Ireland,PhD,Large,"TensorFlow, Linux, Hadoop, Computer Vision",61147
Deep Learning Engineer,7,Netherlands,Associate,Large,"Python, Java, Data Visualization, Spark, Computer Vision",184118.22
AI Research Scientist,0,Israel,Bachelor,Small,"PyTorch, Git, SQL",37048
Autonomous Systems Engineer,1,South Korea,Associate,Large,"Statistics, SQL, PyTorch, GCP, Hadoop",45088
Computer Vision Engineer,1,United States,Bachelor,Medium,"Statistics, TensorFlow, Kubernetes, Hadoop",93219
Deep Learning Engineer,4,Switzerland,PhD,Large,"Computer Vision, SQL, Mathematics",166407
Principal Data Scientist,0,France,Bachelor,Large,"Java, Git, R, AWS",74108.97
ML Ops Engineer,8,India,Bachelor,Large,"Python, Computer Vision, Scala, Kubernetes, Java",101570
Data Analyst,4,Austria,Master,Small,"Python, TensorFlow, Data Visualization",57556
Machine Learning Researcher,0,Australia,Associate,Small,"Azure, AWS, Kubernetes, Python, TensorFlow",61740
Autonomous Systems Engineer,9,Singapore,Associate,Medium,"Statistics, Spark, Scala",120829
NLP Engineer,4,Finland,PhD,Large,"GCP, TensorFlow, SQL, Deep Learning",67335
Machine Learning Engineer,17,Germany,Bachelor,Large,"R, Scala, GCP, SQL, Python",192594.87
ML Ops Engineer,16,Sweden,Master,Medium,"AWS, Python, Data Visualization",215292
Computer Vision Engineer,2,Netherlands,Master,Small,"NLP, Mathematics, Computer Vision",89434.8
AI Software Engineer,13,Finland,Bachelor,Medium,"Azure, Statistics, Tableau, Kubernetes, Java",104690
Robotics Engineer,7,France,Associate,Small,"TensorFlow, SQL, MLOps, AWS",147916.08
Robotics Engineer,18,Netherlands,Master,Large,"Tableau, Spark, Statistics",254663.37
Head of AI,3,France,Bachelor,Medium,"GCP, Statistics, PyTorch, Mathematics, SQL",90981.54
AI Product Manager,6,Germany,Associate,Medium,"Statistics, Deep Learning, Data Visualization, Azure",135916.56
Autonomous Systems Engineer,13,United States,Master,Medium,"SQL, Spark, Linux, AWS",264244
ML Ops Engineer,5,India,Associate,Medium,"Statistics, Kubernetes, MLOps, Python",83181
Principal Data Scientist,8,Israel,Master,Large,"Docker, SQL, Computer Vision, Tableau, Data Visualization",107350
ML Ops Engineer,6,Israel,Bachelor,Medium,"PyTorch, SQL, Data Visualization, Tableau",96850
Machine Learning Engineer,0,Netherlands,Bachelor,Medium,"TensorFlow, AWS, Scala, MLOps, GCP",95184.18
NLP Engineer,10,Finland,Bachelor,Medium,"Java, Kubernetes, Spark",170408
Data Analyst,14,Canada,PhD,Large,"GCP, Deep Learning, MLOps, Kubernetes, TensorFlow",177656
AI Software Engineer,5,Singapore,PhD,Large,"Linux, TensorFlow, Tableau, Docker, NLP",179613
AI Research Scientist,7,Germany,Associate,Small,"NLP, Statistics, Git, Azure, MLOps",146547.18
Principal Data Scientist,2,Sweden,PhD,Medium,"SQL, Azure, Tableau, Statistics",108150
Principal Data Scientist,10,India,Associate,Large,"R, SQL, Spark",158094
Robotics Engineer,0,Australia,PhD,Large,"Python, TensorFlow, Linux, PyTorch, Git",59896
Data Analyst,19,Singapore,PhD,Small,"SQL, PyTorch, Java, Linux, Mathematics",170963
Data Scientist,0,Netherlands,Associate,Large,"Hadoop, SQL, TensorFlow, Scala, Computer Vision",91991.25
AI Specialist,0,Finland,Master,Small,"Computer Vision, Azure, Hadoop, TensorFlow",50004
Data Analyst,1,Israel,Bachelor,Large,"AWS, Linux, Docker",47461
AI Software Engineer,8,Denmark,Associate,Large,"Python, AWS, Computer Vision, Deep Learning, Linux",184957
Machine Learning Engineer,8,United States,Bachelor,Medium,"Kubernetes, R, GCP",145701
Research Scientist,1,Netherlands,Bachelor,Small,"Linux, Mathematics, R, Data Visualization",76771.89
Head of AI,5,Australia,PhD,Large,"Java, SQL, Hadoop, Docker, Python",138286
AI Software Engineer,0,France,Associate,Medium,"Scala, Tableau, Data Visualization",57189.6
AI Software Engineer,12,United Kingdom,Master,Large,"Linux, Mathematics, Scala, R",292908.15
AI Architect,8,South Korea,Associate,Large,"AWS, Scala, GCP",117841
Head of AI,1,India,Master,Small,"Deep Learning, Kubernetes, PyTorch, Tableau, TensorFlow",32907
AI Product Manager,4,Netherlands,PhD,Large,"NLP, Linux, Tableau",153278.19
AI Architect,9,Singapore,Bachelor,Large,"Data Visualization, R, Hadoop",158666
AI Specialist,17,Canada,PhD,Large,"Mathematics, Java, GCP, TensorFlow, Docker",249723
ML Ops Engineer,6,Israel,PhD,Medium,"Deep Learning, R, Tableau",81623
ML Ops Engineer,4,Austria,Bachelor,Large,"Deep Learning, Linux, Azure, TensorFlow",82342
Machine Learning Researcher,9,Singapore,Bachelor,Small,"SQL, PyTorch, Scala",107075
Data Analyst,1,Austria,Bachelor,Medium,"Git, PyTorch, Deep Learning",53730
Autonomous Systems Engineer,1,Canada,Associate,Medium,"Spark, Docker, Kubernetes, Data Visualization, Python",67746
AI Specialist,3,Norway,Bachelor,Medium,"Kubernetes, Hadoop, Deep Learning, Azure",139091
ML Ops Engineer,9,Germany,Associate,Large,"NLP, SQL, Python, Statistics",191561.76
AI Product Manager,0,Japan,Master,Large,"Statistics, Python, Data Visualization, Azure",42239
AI Product Manager,7,United Kingdom,Associate,Medium,"Kubernetes, Scala, Statistics",157018.5
Data Engineer,7,Ireland,PhD,Medium,"PyTorch, TensorFlow, MLOps",99820
Principal Data Scientist,10,Germany,Bachelor,Medium,"Spark, Python, Azure, Git, Data Visualization",285807.6
NLP Engineer,3,United Kingdom,PhD,Medium,"Deep Learning, PyTorch, NLP",124719.75
Principal Data Scientist,8,Singapore,PhD,Large,"Tableau, Linux, R",130938
NLP Engineer,6,United States,Bachelor,Large,"MLOps, Linux, Python",176405
Machine Learning Researcher,5,Finland,Bachelor,Small,"SQL, Tableau, AWS, Data Visualization",80209
NLP Engineer,11,Sweden,Associate,Medium,"Scala, PyTorch, GCP",239265
Data Analyst,7,Switzerland,Associate,Large,"Hadoop, TensorFlow, Python, Docker",204259
Head of AI,17,Netherlands,Master,Small,"SQL, Deep Learning, Python, Git",211528.98
Data Analyst,15,Japan,Master,Medium,"Tableau, PyTorch, Kubernetes",117834
NLP Engineer,8,China,Associate,Small,"PyTorch, R, GCP",66276
Machine Learning Researcher,0,Finland,Associate,Medium,"Azure, Linux, Python",49284
Autonomous Systems Engineer,9,Canada,Master,Small,"PyTorch, Azure, Kubernetes, MLOps",127447
Machine Learning Researcher,12,Ireland,Bachelor,Medium,"Python, Hadoop, TensorFlow, Azure, Linux",104274
AI Product Manager,0,France,Associate,Small,"Deep Learning, MLOps, Python, Computer Vision",61897.68
AI Research Scientist,2,Denmark,Associate,Medium,"Kubernetes, Python, AWS, Azure",117206
Robotics Engineer,12,India,Bachelor,Small,"GCP, AWS, Python, Git",113350
AI Consultant,17,Switzerland,Master,Small,"Statistics, Mathematics, Scala",239159
NLP Engineer,3,South Korea,Associate,Small,"Docker, Python, Deep Learning",52428
Principal Data Scientist,0,Israel,Associate,Medium,"Python, Deep Learning, Hadoop, Spark",44793
Data Engineer,1,Switzerland,PhD,Small,"Linux, Mathematics, Tableau, Python, GCP",84756
Data Engineer,0,Australia,PhD,Medium,"Tableau, Deep Learning, Docker",61454
Data Analyst,0,Ireland,Associate,Small,"Docker, PyTorch, SQL, Tableau",38705
AI Consultant,2,Denmark,Associate,Medium,"TensorFlow, Java, Mathematics, Computer Vision",111158
Robotics Engineer,15,Austria,PhD,Medium,"Azure, Tableau, PyTorch",139252
Data Analyst,16,India,Associate,Small,"SQL, Hadoop, GCP, Tableau, Java",124840
Research Scientist,4,China,Master,Medium,"Kubernetes, Spark, Statistics, MLOps, Scala",58889
Deep Learning Engineer,18,Israel,Associate,Medium,"NLP, Spark, SQL",102681
Machine Learning Researcher,1,Denmark,PhD,Large,"Hadoop, AWS, Tableau",76143
AI Consultant,4,Ireland,Master,Large,"SQL, Scala, AWS, Tableau",75551
AI Product Manager,1,China,Master,Medium,"SQL, Data Visualization, AWS",40121
Principal Data Scientist,0,Finland,Associate,Medium,"Java, Azure, PyTorch, TensorFlow",38151
Robotics Engineer,8,Ireland,Bachelor,Medium,"MLOps, Scala, Python, Git, Docker",80374
Data Analyst,4,Japan,Associate,Large,"Mathematics, SQL, Java",59219
Data Scientist,4,Sweden,Bachelor,Small,"Tableau, Hadoop, Scala, PyTorch",82389
Robotics Engineer,7,South Korea,Bachelor,Large,"PyTorch, Azure, R, Kubernetes, GCP",90976
Machine Learning Researcher,4,Germany,PhD,Large,"Kubernetes, Scala, R",136081.53
Robotics Engineer,6,Switzerland,Master,Medium,"Kubernetes, SQL, NLP, Python",187396
Computer Vision Engineer,0,Switzerland,PhD,Large,"Kubernetes, PyTorch, Deep Learning, Statistics",105574
Data Scientist,11,United States,Master,Large,"Statistics, PyTorch, Scala",221771
ML Ops Engineer,12,Switzerland,Bachelor,Large,"Kubernetes, TensorFlow, AWS, Git",336976
Data Scientist,10,Sweden,Associate,Medium,"GCP, Azure, MLOps",243554
ML Ops Engineer,0,India,Associate,Medium,"Mathematics, Deep Learning, Git",52008
Data Analyst,1,United Kingdom,PhD,Medium,"Linux, Docker, Statistics, Hadoop",76507.2
Computer Vision Engineer,15,India,PhD,Medium,"Python, TensorFlow, Spark",112058
AI Product Manager,5,United Kingdom,Bachelor,Small,"Scala, Git, Data Visualization, Mathematics, Docker",144329.85
ML Ops Engineer,0,Norway,Bachelor,Large,"Kubernetes, R, Computer Vision, Scala, Spark",90297
AI Specialist,3,Finland,PhD,Large,"Python, Azure, Tableau",59789
Principal Data Scientist,9,India,Master,Small,"Deep Learning, Kubernetes, PyTorch, Azure, TensorFlow",71152
AI Architect,14,Netherlands,Master,Medium,"TensorFlow, Docker, Deep Learning, Azure, GCP",296807.94
Research Scientist,1,China,Associate,Medium,"Mathematics, GCP, Linux, Spark",41583
Computer Vision Engineer,16,Austria,PhD,Small,"Docker, Spark, Azure, Statistics, Python",135926
AI Research Scientist,6,Japan,PhD,Medium,"AWS, Tableau, Deep Learning, Docker",107471
NLP Engineer,0,Sweden,Associate,Medium,"Azure, PyTorch, Hadoop, Git",63105
Robotics Engineer,0,Singapore,Associate,Large,"AWS, Statistics, Docker",80166
Machine Learning Engineer,14,France,Associate,Small,"Kubernetes, Linux, GCP, Python, Computer Vision",194568.66
Data Engineer,9,Canada,Associate,Large,"AWS, Hadoop, GCP",133787
Robotics Engineer,17,Norway,Bachelor,Large,"PyTorch, SQL, Statistics",344424
ML Ops Engineer,4,Canada,Bachelor,Small,"Linux, SQL, Tableau",82463
Head of AI,3,Israel,Associate,Medium,"Python, Hadoop, Scala, MLOps, Docker",63516
Research Scientist,4,Israel,Associate,Small,"Azure, AWS, GCP",52449
AI Software Engineer,4,Australia,Associate,Medium,"SQL, Kubernetes, Docker",73972
Principal Data Scientist,4,Australia,Bachelor,Medium,"Spark, Git, Tableau, Python, TensorFlow",77077
AI Architect,0,Singapore,PhD,Small,"Hadoop, Java, Kubernetes, TensorFlow",71477
Computer Vision Engineer,1,Austria,PhD,Medium,"Kubernetes, SQL, Data Visualization, Computer Vision, Tableau",49811
AI Consultant,7,Sweden,PhD,Large,"Linux, TensorFlow, Data Visualization, R",155358
AI Consultant,0,China,Bachelor,Medium,"Spark, Linux, R, Computer Vision",38795
Research Scientist,15,Israel,Associate,Medium,"Python, TensorFlow, Azure, Spark, Mathematics",117375
NLP Engineer,4,Sweden,Bachelor,Medium,"PyTorch, Mathematics, AWS, SQL",109494
Data Analyst,6,Denmark,Associate,Medium,"Git, Kubernetes, Azure, R, Deep Learning",154381
AI Software Engineer,15,United Kingdom,Bachelor,Medium,"Deep Learning, Azure, Computer Vision, R",209927.7
Machine Learning Researcher,1,Canada,Bachelor,Small,"Git, Kubernetes, Statistics, Hadoop, Python",61844
AI Product Manager,12,Singapore,Master,Large,"Python, TensorFlow, Mathematics, Data Visualization",193955
Autonomous Systems Engineer,3,Finland,Master,Small,"Azure, Python, Computer Vision, SQL",57134
Machine Learning Engineer,14,Norway,Bachelor,Small,"R, Azure, Computer Vision, Git, Linux",238485
Robotics Engineer,9,Denmark,Master,Medium,"Python, Kubernetes, Spark",178857
Autonomous Systems Engineer,0,China,Master,Small,"GCP, AWS, Mathematics, Linux",45645
Head of AI,5,China,Master,Large,"Data Visualization, GCP, Python, R",108145
Machine Learning Engineer,16,Germany,Associate,Small,"NLP, SQL, Tableau, Azure, PyTorch",238687.02
Computer Vision Engineer,19,Singapore,Master,Small,"Deep Learning, Python, Tableau, Kubernetes, Data Visualization",131867
AI Research Scientist,5,United States,PhD,Medium,"Scala, Python, NLP, Kubernetes",174490
Computer Vision Engineer,0,Sweden,Master,Large,"NLP, PyTorch, Java",61152
NLP Engineer,0,Finland,Associate,Large,"Data Visualization, Git, R, Scala, Docker",50342
ML Ops Engineer,3,Finland,Bachelor,Small,"SQL, Data Visualization, Hadoop",53706
AI Research Scientist,6,Austria,Associate,Medium,"SQL, PyTorch, Hadoop",90803
Research Scientist,15,Sweden,Associate,Medium,"Tableau, Deep Learning, NLP, Azure",151379
Deep Learning Engineer,13,Germany,Master,Medium,"Linux, Azure, SQL, MLOps, Java",210578.94
Machine Learning Researcher,0,India,PhD,Large,"AWS, MLOps, Spark, Git, Deep Learning",62689
Data Analyst,7,Denmark,PhD,Large,"Spark, Kubernetes, Azure, TensorFlow, Computer Vision",166470
Data Scientist,2,Switzerland,PhD,Medium,"PyTorch, Data Visualization, Git, NLP",152927
AI Software Engineer,15,Canada,Associate,Small,"Tableau, Kubernetes, Hadoop, Java",206336
Research Scientist,19,Germany,Associate,Medium,"Linux, Data Visualization, Python, Kubernetes",292099.86
Robotics Engineer,11,Netherlands,Associate,Medium,"Spark, Linux, Deep Learning, Mathematics, AWS",246962.43
NLP Engineer,4,India,Associate,Medium,"Azure, Kubernetes, Python, Computer Vision",75883
Autonomous Systems Engineer,1,Germany,Bachelor,Large,"Hadoop, TensorFlow, SQL, Data Visualization, Docker",75863.97
Principal Data Scientist,3,South Korea,Master,Large,"R, GCP, Computer Vision, Statistics",70977
Machine Learning Researcher,9,Germany,PhD,Large,"Computer Vision, AWS, Python, Git, Kubernetes",179357.49
Computer Vision Engineer,14,Singapore,Bachelor,Medium,"Linux, SQL, Scala, Kubernetes",166629
Autonomous Systems Engineer,8,Switzerland,Associate,Small,"Computer Vision, AWS, Spark, Linux",133048
Data Analyst,8,United States,Master,Small,"Git, Kubernetes, Python, Deep Learning",119614
NLP Engineer,18,Australia,Master,Large,"Data Visualization, Spark, Java, Computer Vision, SQL",174543
AI Specialist,5,Australia,Bachelor,Small,"Kubernetes, NLP, MLOps, SQL",94173
Deep Learning Engineer,8,Switzerland,Associate,Medium,"R, Linux, Python, Computer Vision",196690
Machine Learning Researcher,1,Canada,Master,Large,"Python, Docker, NLP, Tableau",84462
AI Architect,0,India,Associate,Small,"Mathematics, Deep Learning, Python, R, Java",41157
AI Consultant,12,China,Associate,Small,"Mathematics, Spark, PyTorch",121032
Autonomous Systems Engineer,2,Singapore,Associate,Large,"Mathematics, R, Azure, GCP, NLP",123876
AI Consultant,5,Netherlands,Bachelor,Small,"TensorFlow, Hadoop, Git, Computer Vision, Spark",154596.78
Data Analyst,3,Japan,Master,Large,"Statistics, Linux, Docker, Deep Learning",83359
Machine Learning Researcher,4,Austria,Bachelor,Medium,"Tableau, Python, Java, MLOps, Deep Learning",53365
ML Ops Engineer,3,China,Associate,Medium,"Python, Linux, Deep Learning",71593
Autonomous Systems Engineer,8,Denmark,Associate,Large,"Kubernetes, NLP, MLOps, GCP, Computer Vision",172837
AI Specialist,6,United States,Master,Large,"Kubernetes, SQL, Mathematics",198051
AI Specialist,8,Australia,Bachelor,Small,"Deep Learning, Kubernetes, Python",102674
ML Ops Engineer,0,United States,Associate,Large,"Computer Vision, Git, Hadoop",81597
Principal Data Scientist,18,Singapore,PhD,Medium,"Statistics, Azure, Hadoop",171619
ML Ops Engineer,4,India,Bachelor,Medium,"Computer Vision, Azure, Data Visualization, R, SQL",66540
Principal Data Scientist,1,Japan,PhD,Medium,"MLOps, GCP, R, Deep Learning, Data Visualization",53359
Machine Learning Researcher,8,Israel,PhD,Medium,"Python, Azure, Mathematics, TensorFlow",84452
Data Scientist,0,Finland,PhD,Small,"TensorFlow, Git, Scala",51188
AI Product Manager,7,Canada,Master,Small,"MLOps, Deep Learning, Python, Scala, SQL",89786
Research Scientist,9,Switzerland,Bachelor,Medium,"AWS, Hadoop, Scala, Java, Python",169593
Machine Learning Researcher,12,South Korea,PhD,Large,"Computer Vision, Git, Deep Learning",202201
Robotics Engineer,6,Finland,Master,Large,"Hadoop, Python, TensorFlow, Kubernetes",107217
Data Analyst,3,Netherlands,Master,Medium,"Statistics, Linux, Data Visualization",125820.63
Robotics Engineer,3,Switzerland,PhD,Small,"SQL, Python, Hadoop",131783
Machine Learning Researcher,0,India,Master,Small,"Java, Hadoop, R, Git, Tableau",47747
Research Scientist,12,Japan,Master,Small,"Spark, Mathematics, Deep Learning, MLOps",147158
Data Engineer,3,South Korea,Bachelor,Large,"PyTorch, Scala, Docker, Computer Vision",69689
NLP Engineer,9,Germany,Associate,Medium,"Java, Kubernetes, Docker, NLP",126411.48
Machine Learning Engineer,6,Ireland,Associate,Medium,"Statistics, TensorFlow, Computer Vision, AWS, Linux",96106
Robotics Engineer,3,Singapore,Bachelor,Small,"Python, Azure, MLOps, NLP",72557
AI Specialist,7,Denmark,PhD,Large,"Java, Deep Learning, GCP, Hadoop",166801
AI Architect,1,Ireland,Associate,Large,"Computer Vision, SQL, AWS, Java",46629
Principal Data Scientist,5,India,PhD,Medium,"Data Visualization, Azure, PyTorch, NLP",98101
Autonomous Systems Engineer,2,Netherlands,Bachelor,Large,"Git, Data Visualization, Kubernetes",111286.89
Data Analyst,3,Canada,Master,Large,"Python, Kubernetes, Hadoop",96074
AI Research Scientist,2,Germany,Bachelor,Large,"Java, Hadoop, MLOps, Python",122579.73
Computer Vision Engineer,11,Denmark,Bachelor,Large,"GCP, Kubernetes, NLP, Java, Azure",350761
Data Engineer,6,Austria,Master,Medium,"Azure, GCP, R",74309
AI Consultant,1,South Korea,PhD,Medium,"Deep Learning, Python, TensorFlow, NLP, R",43103
Data Engineer,0,Japan,Master,Small,"GCP, Git, Mathematics, Scala, Python",38113
Principal Data Scientist,17,France,Associate,Small,"Docker, Mathematics, Data Visualization, Kubernetes, Deep Learning",141593.4
Autonomous Systems Engineer,0,Sweden,PhD,Small,"MLOps, Azure, Python, Java",68579
ML Ops Engineer,7,Switzerland,Bachelor,Medium,"Scala, Tableau, Spark, Data Visualization",146855
AI Product Manager,13,Denmark,Master,Small,"Scala, Deep Learning, GCP, MLOps, PyTorch",257091
Deep Learning Engineer,0,Austria,Bachelor,Large,"Mathematics, Kubernetes, SQL, Linux, Statistics",57195
Machine Learning Engineer,12,Netherlands,Bachelor,Medium,"Spark, Java, R",275210.91
AI Specialist,11,Netherlands,PhD,Large,"NLP, Hadoop, SQL, Tableau, Docker",307184.67
ML Ops Engineer,2,Sweden,Master,Large,"Linux, Java, AWS, Git, Statistics",124613
Machine Learning Researcher,18,Norway,PhD,Medium,"TensorFlow, Spark, GCP",270268
AI Architect,4,Singapore,Master,Medium,"Python, NLP, Data Visualization",98711
Principal Data Scientist,10,Ireland,Bachelor,Medium,"R, GCP, Git",97932
ML Ops Engineer,9,Norway,Associate,Small,"Deep Learning, Git, Linux",128015
Data Scientist,4,Austria,Bachelor,Large,"Python, Kubernetes, Linux, TensorFlow, Azure",72690
Research Scientist,6,United Kingdom,Master,Medium,"Data Visualization, AWS, Python, Docker",188010.45
Principal Data Scientist,12,Israel,Bachelor,Small,"Spark, Python, Git, Linux",98526
Data Engineer,17,Switzerland,Bachelor,Medium,"Scala, Python, NLP",228495
Principal Data Scientist,0,Canada,PhD,Medium,"SQL, NLP, AWS, Python, Spark",74853
NLP Engineer,1,Austria,PhD,Medium,"Hadoop, Kubernetes, Deep Learning, Python",48085
Autonomous Systems Engineer,9,Canada,Bachelor,Medium,"Hadoop, Computer Vision, Scala, GCP, TensorFlow",116762
Head of AI,17,Switzerland,PhD,Small,"Tableau, Azure, Docker, Spark, Kubernetes",260090
Research Scientist,9,Canada,Associate,Large,"PyTorch, MLOps, Python",160583
AI Architect,3,Canada,PhD,Small,"R, Linux, AWS",86679
AI Consultant,2,India,Associate,Medium,"Kubernetes, SQL, Azure, Python, Linux",76014
ML Ops Engineer,0,Sweden,Associate,Medium,"Java, Linux, TensorFlow, SQL",62941
AI Specialist,1,Netherlands,Associate,Medium,"Scala, Spark, Kubernetes, R, Java",63302.85
AI Software Engineer,4,France,PhD,Large,"R, Hadoop, MLOps, Deep Learning, Docker",136868.94
Head of AI,1,Canada,Bachelor,Medium,"Azure, SQL, GCP, PyTorch, Git",57378
Data Scientist,19,Australia,Master,Medium,"Hadoop, Python, Spark, R",228453
AI Consultant,2,Germany,Master,Medium,"Linux, Python, Tableau, SQL",101636.73
Data Scientist,5,Norway,Master,Medium,"R, Kubernetes, Git, Deep Learning, Computer Vision",158050
Autonomous Systems Engineer,9,Netherlands,Master,Small,"Java, Linux, NLP, Tableau",153804.69
AI Product Manager,7,Austria,Master,Large,"MLOps, GCP, Kubernetes, Spark, Mathematics",84901
Data Analyst,17,Finland,Associate,Medium,"Python, Hadoop, Linux",122071
ML Ops Engineer,1,South Korea,Bachelor,Large,"GCP, Computer Vision, Linux",57629
ML Ops Engineer,0,China,Bachelor,Medium,"NLP, MLOps, TensorFlow, Git",52486
Research Scientist,8,Ireland,Associate,Large,"Linux, Computer Vision, AWS, Mathematics",87978
Machine Learning Researcher,7,Denmark,Associate,Small,"Data Visualization, AWS, GCP, Scala, Java",130679
Machine Learning Engineer,0,Singapore,Master,Large,"Java, GCP, Git, Python",88463
AI Architect,1,China,Associate,Large,"Linux, R, Hadoop, Statistics",50420
AI Software Engineer,5,Finland,Bachelor,Small,"Python, Docker, Data Visualization, Statistics, Scala",90946
Head of AI,10,India,Master,Small,"Scala, Kubernetes, Tableau",107933
AI Software Engineer,7,France,Associate,Small,"Hadoop, Azure, SQL",134968.86
AI Specialist,19,Norway,Associate,Large,"R, Hadoop, Statistics, MLOps",316486
Research Scientist,1,Norway,Bachelor,Small,"MLOps, Linux, Docker, NLP, Spark",83539
AI Architect,3,Canada,Master,Medium,"NLP, PyTorch, Spark, TensorFlow",96103
Head of AI,1,Ireland,Associate,Large,"Linux, Tableau, PyTorch",60357
AI Software Engineer,2,Denmark,Master,Small,"Spark, Linux, SQL, NLP, Computer Vision",88717
Autonomous Systems Engineer,17,Netherlands,Bachelor,Small,"Python, Tableau, Hadoop, Kubernetes",202646.34
Data Engineer,17,Norway,PhD,Medium,"Tableau, PyTorch, SQL",178120
Data Analyst,4,Sweden,Bachelor,Small,"Scala, Docker, Python",76669
Machine Learning Engineer,18,Japan,Bachelor,Medium,"Spark, R, MLOps",146429
Machine Learning Researcher,2,Japan,Associate,Small,"Mathematics, Kubernetes, Docker, AWS, NLP",57462
Machine Learning Engineer,0,Japan,PhD,Large,"Azure, Computer Vision, Linux",60204
AI Architect,3,Ireland,Bachelor,Small,"Kubernetes, Git, Data Visualization, GCP, Python",68000
Computer Vision Engineer,18,South Korea,PhD,Small,"SQL, Linux, Data Visualization, Spark, Azure",126559
AI Software Engineer,2,Singapore,Bachelor,Large,"MLOps, Data Visualization, Python, Linux",132846
Autonomous Systems Engineer,14,Germany,PhD,Medium,"Java, Spark, PyTorch, Tableau, GCP",284419.98
Data Scientist,2,Austria,Bachelor,Small,"Python, Hadoop, TensorFlow, Computer Vision",64095
Deep Learning Engineer,8,Netherlands,Associate,Medium,"AWS, Hadoop, MLOps, NLP",132482.61
AI Architect,3,United States,PhD,Small,"Azure, R, Deep Learning, GCP, Spark",112398
AI Research Scientist,13,Switzerland,Associate,Large,"TensorFlow, Kubernetes, Docker, Data Visualization",263576
Computer Vision Engineer,7,France,Bachelor,Small,"Scala, Java, Statistics, Linux, Python",127684.44
AI Specialist,3,Australia,Master,Large,"Kubernetes, Linux, Python, Git, Azure",114519
Data Scientist,13,Norway,PhD,Medium,"Scala, NLP, Statistics",296132
AI Architect,8,Denmark,PhD,Small,"Azure, GCP, MLOps, Hadoop",168207
AI Research Scientist,0,Ireland,Master,Small,"NLP, GCP, Hadoop, Kubernetes, Mathematics",34721
AI Specialist,8,France,PhD,Small,"Hadoop, Python, Mathematics",107671.59
Autonomous Systems Engineer,3,Norway,Bachelor,Medium,"Python, Hadoop, GCP",110385
ML Ops Engineer,13,Finland,Master,Large,"Spark, Scala, SQL",171011
ML Ops Engineer,10,Denmark,Master,Medium,"R, Python, Java, Scala, Data Visualization",209397
Machine Learning Researcher,4,United States,Associate,Small,"Tableau, Statistics, Python",94981
Autonomous Systems Engineer,14,Denmark,Master,Large,"Python, R, MLOps",336333
AI Architect,4,Ireland,PhD,Medium,"Data Visualization, NLP, Azure, Python",58183
Head of AI,1,Singapore,Master,Small,"Python, SQL, TensorFlow",76950
Research Scientist,3,Norway,Associate,Large,"Azure, Spark, NLP, Data Visualization",132079
AI Product Manager,2,South Korea,PhD,Medium,"Python, Scala, Mathematics",53336
AI Consultant,13,China,Master,Large,"R, Deep Learning, Hadoop",199482
Data Scientist,10,India,Master,Small,"Scala, Deep Learning, Computer Vision, Python",102968
ML Ops Engineer,12,France,Bachelor,Small,"R, Hadoop, PyTorch, TensorFlow, Python",230334.39
Research Scientist,6,China,Associate,Small,"Azure, TensorFlow, Linux, PyTorch",89652
Robotics Engineer,5,United Kingdom,Associate,Small,"AWS, Linux, SQL, Scala",158927.4
Machine Learning Researcher,3,Ireland,Master,Large,"TensorFlow, Kubernetes, MLOps",64509
Deep Learning Engineer,5,Germany,Bachelor,Large,"PyTorch, SQL, MLOps, Azure, Docker",175904.82
Deep Learning Engineer,3,Norway,Bachelor,Large,"R, MLOps, Azure, SQL, AWS",128302
Principal Data Scientist,8,United Kingdom,Associate,Medium,"R, Kubernetes, Tableau, Java",170955.9
AI Architect,2,Ireland,Associate,Large,"Linux, Kubernetes, Java",73701
Head of AI,2,India,Associate,Medium,"Scala, Python, NLP, Computer Vision",76598
Data Engineer,0,Netherlands,PhD,Large,"Scala, Data Visualization, GCP, Deep Learning",111935.07
Machine Learning Researcher,5,China,PhD,Large,"Linux, Kubernetes, MLOps, Deep Learning",111903
Robotics Engineer,4,Singapore,PhD,Large,"MLOps, Git, R, Computer Vision, Linux",113979
Data Analyst,1,South Korea,PhD,Large,"GCP, R, Statistics, Deep Learning, Azure",64531
Data Engineer,6,Singapore,Bachelor,Large,"Git, AWS, SQL, PyTorch",179159
Data Scientist,15,India,Bachelor,Small,"Python, Spark, TensorFlow, Hadoop, NLP",154872
ML Ops Engineer,2,Switzerland,Associate,Large,"Linux, MLOps, Hadoop, SQL",146434
ML Ops Engineer,5,Switzerland,PhD,Medium,"Azure, SQL, Git, GCP, PyTorch",175580
AI Research Scientist,7,Japan,Master,Small,"R, AWS, SQL, Docker",69277
Machine Learning Researcher,8,Germany,Associate,Large,"PyTorch, TensorFlow, NLP, GCP",175433.31
Robotics Engineer,1,Israel,PhD,Large,"Deep Learning, Hadoop, R, Mathematics",53174
